,hyb_index,BaselineName,Hybrid,MarketName,PipelineProductStageName,TraitName,Location,num_sres,season,seed_target,y_predicted_class,y_predicted,seed_target_class,TPD_RECOMMENDATION,MetstOptimized,NumPlotsOptimized,NumPlotsOptimizedHalf,SeedProductionOptimized,Recomendacao_Planejamento
107,108,B108,H108,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1630,2,24,1.0,30.0,15.0,51476,24
108,109,B109,H109,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1395,2,24,1.0,14.0,7.0,27001,24
109,110,B110,H110,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1568,1,24,1.0,26.0,13.0,53087,24
110,111,B111,H111,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1660,2,24,1.0,22.0,11.0,51658,24
111,112,B112,H112,Summer,PS3,CONV,PEPT,0,2022_04,20376,>1900,1909,2,24,1.0,30.0,15.0,51070,24
112,113,B113,H113,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1384,2,24,1.0,18.0,9.0,26612,24
113,114,B114,H114,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1202,1,24,1.0,14.0,7.0,28000,24
114,115,B115,H115,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1626,1,24,1.0,22.0,11.0,51603,24
115,116,B116,H116,Summer,PS3,V4,PEPT,0,2022_04,20376,>1900,1907,2,24,1.0,16.0,8.0,27040,24
116,117,B117,H117,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1374,1,24,1.0,16.0,8.0,28260,24
117,118,B118,H118,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1436,1,24,1.0,32.0,16.0,52546,24
118,119,B119,H119,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1335,2,24,1.0,20.0,10.0,52841,24
119,120,B120,H120,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,>1900,2148,2,24,1.0,12.0,6.0,28000,24
120,121,B121,H121,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1897,1,24,1.0,30.0,15.0,53579,24
121,122,B122,H122,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1452,2,24,1.0,18.0,9.0,28428,24
122,123,B123,H123,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1284,1,24,1.0,14.0,7.0,26433,24
123,124,B124,H124,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1535,1,24,1.0,26.0,13.0,52319,24
